ISBN,title,author,yop,publisher
978-9380501932,Computer Networks: A System larry,LARRY PETERSON AND BRUCE S DAVIS,2017,ELSEVIER
978-8131706886,Ad-hoc Wireless Siva,C. SIVA RAM MURTHY & B. S. MANOJ,2017,PEARSON EDUCATION
978-8131731864,"Wireless Communications, Principle Rapp",THEODORE S RAPPAPORT,2017,PEARSON EDUCATION ASIA
978-8131727591,Network Management – Principles Mani,MANI SUBRAMANIAN,2017,PERSON EDUCATION PUBLICATION
978-8126558230,Building the Internet of Things   Minoli,DANIEL MINOLI,2017,WILEY
978-8126516674,Security Engineering  Rose,ROSE ANDERSON,2017,WILEY
978-0262035613.,Deep Learning Ian Good,IAN GOOD FELLOW,2017,MIT PRESS
978-9352135608,Fundamentals of Deep Learning Nikhil,"""NIKHIL BUDUMA,""",2016,O’REILLY PUBLICATIONS
978-1-449-35854-9.,Elasticsearch – The Definitive  Clint,"""CLINTON GORMLEY, ZACHARY TONG, """,2015,"""O’REILLY MEDIA, INC. """
978-8184047486,Natural language processing with Python,"""BIRD, STEVEN, EWAN KLEIN""",2009,"""O'REILLY  MEDIA, INC."""
978-0124103979,Parallel Programming with OpenACC Rob,ROB FARBER,2016,"""MORGAN KAUFMANN(MK) PUBLICATION,"""
9.79E+12,Head First Java Kathy,KATHY SIERRA AND BERT BATES,2014,OREILLY PUBLICATION
978-93-86649-22-5,Research Methodology Methods Kotha,KOTHARI C.R,2017,NEW AGE INTERNATIONAL PUBLISHERS
978-8184048155,Cloud Security and Privacy: Tim,"""TIM MATHER, SUBRA KUMARASWAMY, SHAHED""",2017,O'REILLY MEDIA
978-8131718490,Network Management Concepts and Practice,""" J RICHARD BURKE,""",2017,PEARSON PUBLICATION
978-1558606715,Parallel Programming with OpenMP Rohit,ROHIT CHANDRA,2001,MORGAN KAUFMANN
978-9387432291,The Complete Reference - Java Herbert,HERBERT SCHILDT,2016,TMH PUBLICATIONS
,theory of plasticity,CHAKRABARTY,2017,ELSEVIER
978-9382332657,Highway material testing and quality,VENKATAPA RAO,2017,IK
978-81-239-2960-6,Advanced Reinforced Concrete Design,N KRISHNA RAJU,2017,CBS PUBLISHERS AND DIOSTRIBUTORS
978-8131790816,soil mechanics  and foundation enginee,RAJ,2017,PEARSON
978-8126523818,Soil mechanics in engineering practice,TERZAGHI,2017,WILEY/STAR
978-1138502192,craigs soil mechanics,CRAIG,2017,CRC/IK
978-0199460915,design of steel structures,GAYFORD,2017,MCGRAW HILL
978-0199460915,design of steel structures,SUBRAMANIAN,2017,OXFORD
978-0074624128,design of steel structures,SUBRAMANIAN,2017,OXFORD
978-9381141359,Handbook of reinforced concrete design,SINHA,2017,MGH
978-9381141359,matrix method of structural analysis,BHAVIKATTI,2017,I K INTERNATIONAL
9.79E+12,matrix method of structural analysis,BHAVIKATTI,2017,I K INTERNATIONAL
9.79E+12,Strenghth of,"""S.RAMAMRUTHAM, R NARAYANAN""",2017,DHANAPATH RAI PUBLISHING CO.
978-8123910772,Strenghth of,"""S.RAMAMRUTHAM, R NARAYANAN""",2017,DHANAPATH RAI PUBLISHING CO.
978-8123910772,strength of materials part 2,TIMOSHENKO,2017,CBS
978-8123909783,strength of materials part 2,TIMOSHENKO,2017,CBS
978-8123909783,structural dynamics theory and,PAZ,2017,CBS
978-8180520907,structural dynamics theory and,PAZ,2017,CBS
978-8180520907,structural dynamics vibrations and,MUKHOPADHYAY,2017,ANE BOOKS
978-9384588663,structural dynamics vibrations and,MUKHOPADHYAY,2017,ANE BOOKS
978-9384588663,structural masonary,JAGADISH,2017,IK
978-0070701229,structural masonary,JAGADISH,2017,IK
978-0070701229,theory of elasticity,TIMOSHENKO,2017,MGH
978-9387886209,theory of elasticity,TIMOSHENKO,2017,MGH
978-8173195433,prestressed concrete,KRISHNA RAJU,2017,MGH
978-8131791073,prestressed concrete,RAJAGOPOLAN,2017,NAROSA
978-8131791073,properties of concrete,NEVILLE,2017,PEARSON
978-8131707180,properties of concrete,NEVILLE,2017,PEARSON
978-8131707180,geotechnical earthquake engineerng,KRAMER,2017,PEARSON
978-0070701250,geotechnical earthquake engineerng,KRAMER,2017,PEARSON
978-0070701250,theory of plates and shells,TIMOSHENKO,2017,MGH
978-8121905206,theory of plates and shells,TIMOSHENKO,2017,MGH
978-8131704820,theory of structure,KHURMI,2017,S. CHAND
978-8131704820,theory of vibration with applications,THOMSON,2017,PEARSON
978-8131721247,theory of vibration with applications,THOMSON,2017,PEARSON
978-81-7371-922-6,Pavement analysis and design,HUANG,2017,PEARSON
978-81-7371-922-6,Pavement evaluation an maintenance,SRINIVASA KUMAR,2017,UNIVERSITIES PRESS
978-8126530724,Pavement evaluation an maintenance,SRINIVASA KUMAR,2017,UNIVERSITIES PRESS
978-8126530724,Principles of pavement design,YODER,2017,WILEY
978-81-7532-923-6,Principles of pavement design,YODER,2017,WILEY
978-81-203-5345-9,Principles of traffic and,GARBER,2017,PHI
978-9332555150,principles of transportation engineirng,CHAKRABORTY,2017,PHI
978-9332555150,transportation engineering and planning,PAPCOSTA,2017,PEARSON
978-81-7371-924-0,transportation engineering and planning,PAPCOSTA,2017,PEARSON
978-81-7371-924-0,transportation engineering railways,KUMAR,2017,UNIVERSITIES PRESS
978-8126538874,transportation engineering railways,KUMAR,2017,UNIVERSITIES PRESS
978-9332509368,Project management a systems approach,KERZNER,2017,WILEY
978-9332509368,Traffic engineering,ROESS,2017,PEARSON
978-8126522163,Traffic engineering,ROESS,2017,PEARSON
978-8126522163,Advanced mechanics of materials,BORESI,2017,WILEY
978-0070139886,Advanced mechanics of materials,BORESI,2017,WILEY
978-0070139886,advanced mechanics of solids,SRINATH,2017,MCGRAW HILL
978-8126528806,advanced mechanics of solids,SRINATH,2017,MCGRAW HILL
978-8126528806,Applied finite element analysis,SEGERLIND,2017,WILEY/ BSP
978-9339221072,Applied finite element analysis,SEGERLIND,2017,WILEY/ BSP
978-8120417984,Bridge engineering,PONNUSWAMY,2017,MCGRAW HILL
978-8120417984,design of bridges,KRISHNA RAJU N,2017,OXFORD/IBH
978-8120417175,design of bridges,KRISHNA RAJU N,2017,OXFORD/IBH
978-8123926636,essentials of bridge engineeirng,VICTOR,2017,OXFORD/IBH
978-8123926636,dynamics of structures,CLOUGH,2017,CBS
978-8131713297,dynamics of structures,CLOUGH,2017,CBS
978-8131713297,dynamics of structures theory and,CHOPRA,2017,PEAROSN
978-0198083528,dynamics of structures theory and,CHOPRA,2017,PEAROSN
978-0198083528,earthquake resistant design of structure,DUGGAL,2017,OXFORD
9.79E+12,earthquake resistant design of structure,DUGGAL,2017,OXFORD
978-0074622100,earthquake resistant design of structure,AGARWAL,2017,PHI
978-0074622100,finite element analysis theory and,KRISHNAMOORTY,2017,MCGRAW HILL
978-8131724644,finite element analysis theory and,KRISHNAMOORTY,2017,MCGRAW HILL
979004950,finite element method,ELDHO,2017,PEARSON
978-0071740098,finite element procedures,BATHE,2017,PHI
978-0070601222,foundation engineering handbook,DAY,2017,MCGRAW HILL
978-0070601222,Fundamentals of Finite Element Analysis,DAVID V. HUTTON,2017,MCGRAW HILL
9.78E+12,Fundamentals of Finite Element Analysis,DAVID V. HUTTON,2017,MCGRAW HILL
9.78E+12,Getting started with Matlab 7,RUDRA PRATAP,2017,OXFORD
978-8177585636,Getting started with Matlab 7,RUDRA PRATAP,2017,OXFORD
978-1107518940,Management research methodology,KRISHNASWAMY,2017,PEARSON
978-9384588663,Matrix analysis,HOM,2017,CAMBRIDGE
9.78E+12,the finite element method for solid and,ZIENKIEWIXZ,2017,BUTTERWORTH
9.78E+12,Advanced Electromagnetic Comput Kall,KALLURI,2017,ROUTLEDGE
9.78E+12,Steel corrosion-induced concrete cra Zha,ZHAO,2017,BUTTERWORTH - HEINEMANN
9.78E+12,An Introduction to Sustainable Transp Sc,SCHILLER,2017,ROUTLEDGE
9.78E+12,Introduction to the micromechanics   Yin,YINGTAO,2017,CRC PRESS
9.78E+12,Digital terrain analysis in soil  Flo,FLORINSKY,2017,ACADEMIC PRESS
9.78E+12,Digital drawing for designers Dou,DOUGLAS R. SEIDLER,2011,FAIRCHILD BOOKS
9.78E+12,Defects And Deterioration Rich,RICHARDSON BARRY,2017,CRC PRESS
9.78E+12,Integrating Building Performance Gran,GRANT,2017,ROUTLEDGE
9.78E+12,Structural Design from First Byf,BYFIELD,2017,ROUTLEDGE
9.78E+12,Bird's Comprehensive Engineering Bir,BIRD,2017,ROUTLEDGE
9.78E+12,Applied Differential Equations with  Dob,DOBRUSHKIN,2017,CRC PRESS
9.78E+12,Mathematical Methods for Physics Matt,MATTIAS BLENNOW,2017,CRC PRESS
9.79E+12,What Every Engineer Should Know  Mad,MADACHY,2017,ROUTLEDGE
9.78E+12,The DBS Handbook of Nanoelec Bak,BAKHTIYAR HUSSAIN,2017,DBS IMPRINTS
9.78E+12,Control and Dynamics in Power Sy Fan,FAN,2017,CRC PRESS
9.78E+12,Power Electronic Converters Iyer,IYER,2017,ROUTLEDGE
9.79E+12,A Systematic Approach to Learning new,NEWMAN,2017,ROUTLEDGE
9.79E+12,Electomagnetic Field Theory Jain,JAIN,2017,RANDOM PUBLICATIONS PUBLISHERS
9.78E+12,Statistics : An Introduction Using R pra,PRASAD,2017,OXFORD BOOK COMPANY
9.78E+12,Implementing Lean Protz,PROTZMAN,2017,CRC PRESS
9.78E+12,Clustering and Routing Algorithms Kuila,KUILA,2017,ROUTLEDGE
9.78E+12,"Bioenergy: Principles, Technology Ster",STERLING MACMILLAN,2017,LARSEN & KELLER
9.78E+12,Biocomputation and Biomedical Ragh,RAGHAVENDER,2017,DELVE PUBLISHING
9.78E+12,Project management for engineering  John,JOHN,2017,ROUTLEDGE
9.78E+12,Multivariate Statistics Made Sim Sarm,SARMA,2017,CHAMPAN AND HALL
9.78E+12,Statistical analysis of contingency  Sti,STIAN,2017,CRC PRESS
9.78E+12,Logistics Engineering and Manag Shel,SHELLEY LYNCH,2017,WILLFORD PRESS
9.78E+12,Statistical Process John,JOHN OAKLAND,2017,ROUTLEDGE
9.78E+12,A practical introduction to supply David,DAVID PHEASEY,2017,CRC PRESS
9.78E+12,Best Practices in Metropolitan Ewing,EWING,2017,ROUTLEDGE
9.78E+12,Soft Computing in Engineering Ghab,GHABOUSSI,2017,ROUTLEDGE
9.78E+12,"Theory, Practice and Techniques in",NA,2017,3G E-LEARNING
9.78E+12,Grid Computing,NA,2017,3G E-LEARNING
9.78E+12,COMPUTER AIDED DESIGN,NA,2017,3G E-LEARNING
9.78E+12,Computational Exome and Genome Anal Ros,ROSARIO,2017,CRC PRESS
9.78E+12,Introduction to Machine Learning Stamp,STAMP,2017,ROUTLEDGE
9.78E+12,Software Design A Comprehensive Gui Chem,CHEMUTURI,2017,CRC PRESS
9.78E+12,Applications of Differential Equation Ch,CHAU,2017,CRC PRESS
9.78E+12,Nanotechnology: NanopNanostruc Hec,HECTOR LAMB,2017,CLANRYE INTERNATIONAL
9.79E+12,"Aircraft Engineering: Design, StrucIan",IAN BOOTH,2017,NY RESEARCH PRESS
9.78E+12,Aircraft Gas Turbine Engine Techn Agra,AGRAWAL,2017,RANDOM PUBLICATIONS PUBLISHERS & DISTRIBUTORS
9.79E+12,Finite Element Method with Applic Yingx,YINGXIAO SONG,2017,ARCLER PRESS
9.78E+12,"Waves, Vibrations and Electromag Balkri",BALKRISHNA,2017,SONALI PUBLICATIONS
9.78E+12,Fundamentals of Rocket Propulsion Mish,MISHRA,2017,CRC PRESS
9.78E+12,Advanced Flight Dynamics with Anan,ANANTHKRISHNAN,2017,CRC PRESS
9.78E+12,Aircraft Electrical and Electronic Davi,DAVID WYATT,2017,ROUTLEDGE
9.79E+12,Aircraft Engineering: Design casey,CASEY STOKES,2017,LARSEN & KELLER
9.78E+12,Low speed wind tunnel testing,JEWEL B. BARLOW,2017,WILEY
9.78E+12,Aerodynamics for Engineering Hou,HOUGHTON,2017,BUTTERWORTH - HEINEMANN
9.78E+12,Flight Theory and Aerodynamics Brian,BRAIN,2017,WILEY
9.79E+12,Nanotechnology: Principles and Kit,KIT COOLEY,2017,ED-TECH.PRESS
9.78E+12,The DBS Handbook of Materials Scienc Muk,MUKESH KUMAR,2017,DBS IMPRINTS
9.78E+12,An Introduction to Materials Science Emi,EMILIO MCMAHON,2017,NY RESEARCH PRESS
9.79E+12,Electrical and Electronic Principl bird,BIRD,2017,ROUTLEDGE
9.78E+12,Empowering Learners : Teacher Traine Liz,LIZ OROURKE,2017,SHREE PUBLISHERS & DISTRIBUTORS
9.78E+12,Electric Power Tang,TANG,2017,CRC PRESS
9.78E+12,An Introduction to Electrical Sci Way,WAYGOOD,2017,ROUTLEDGE
9.78E+12,CMOS Analog Integrated Circuits Ndjo,NDJOUNTCHE,2017,CRC PRESS
9.79E+12,Electrical Installation Work Scad,SCADDAN,2017,ROUTLEDGE
9.79E+12,Data Structures and Algorithms Goodrich,GOODRICH,2017,WILEY
9.79E+12,Data Structures and Algorithms Goodrich,GOODRICH,2017,WILEY
9.79E+12,Data Structures and Algorithms Goodrich,GOODRICH,2017,WILEY
9.79E+12,Data Structures: Abstraction Koffman,KOFFMAN,2017,WILEY
9.79E+12,Data Structures: Abstraction Koffman,KOFFMAN,2017,WILEY
9.79E+12,Building Voice-Enabled Apps Becker,BECKER,2017,WILEY
9.79E+12,Building Voice-Enabled Apps Becker,BECKER,2017,WILEY
9.79E+12,Data Science and Big Data Analytics EMC,EMC,2017,WILEY
9.79E+12,Data Science and Big Data Analytics EMC,EMC,2017,WILEY
9.79E+12,"Big Data, Data Mining Dean",DEAN,2017,WILEY
9.79E+12,"Big Data, Data Mining Dean",DEAN,2017,WILEY
9.79E+12,Electric Vehicle Technology Larminie,LARMINIE,2017,WILEY
9.79E+12,Electric Vehicle Technology Larminie,LARMINIE,2017,WILEY
9.79E+12,"Core and Advanced Java, Black Book",DREAMTECH PRESS,2017,WILEY
9.79E+12,"Core and Advanced Java, Black Book",DREAMTECH PRESS,2017,WILEY
9.79E+12,Signals and Systems Haykin,HAYKIN,2017,WILEY
9.79E+12,Signals and Systems Haykin,HAYKIN,2017,WILEY
9.79E+12,Principles of Electric Machines Sen,SEN,2017,WILEY
9.79E+12,Principles of Electric Machines Sen,SEN,2017,WILEY
9.79E+12,Acing the GATE Electrical Engineering,CHATTERJEE,2017,WILEY
9.79E+12,Acing the GATE Electrical Engineering,CHATTERJEE,2017,WILEY
9.79E+12,Wireless Sensor Networks Dargie,DARGIE,2017,WILEY
9.79E+12,Wireless Sensor Networks Dargie,DARGIE,2017,WILEY
9.79E+12,Protocols and Architectures for Wireless,KARL,2017,WILEY
9.79E+12,Protocols and Architectures for Wireless,KARL,2017,WILEY
9.79E+12,Advanced Wireless Networks Glisic,GLISIC,2017,WILEY
9.79E+12,Advanced Wireless Networks Glisic,GLISIC,2017,WILEY
9.79E+12,Mobile Ad Hoc Networking Basagni,BASAGNI,2017,WILEY
9.79E+12,Mobile Ad Hoc Networking Basagni,BASAGNI,2017,WILEY
9.79E+12,Python Projects Cassell,CASSELL,2017,WILEY
9.79E+12,Python Projects Cassell,CASSELL,2017,WILEY
9.79E+12,Advanced Digital Signal Processing Apte,APTE,2017,WILEY
9.79E+12,Advanced Digital Signal Processing Apte,APTE,2017,WILEY
9.79E+12,Digital Signal Processing Apte,APTE,2017,WILEY
9.79E+12,Digital Signal Processing Apte,APTE,2017,WILEY
9.79E+12,Digital Disciplines Weinman,WEINMAN,2017,WILEY
9.79E+12,Digital Disciplines Weinman,WEINMAN,2017,WILEY
9.79E+12,Systems Engineering Dwivedi,DWIVEDI,2017,WILEY
9.79E+12,Systems Engineering Dwivedi,DWIVEDI,2017,WILEY
9.79E+12,Beginning Programming Python Mueller,MUELLER,2017,WILEY
9.79E+12,Embedded Systems Peckol,PECKOL,2017,WILEY
9.79E+12,Embedded Systems Peckol,PECKOL,2017,WILEY
9.79E+12,Embedded / Real-Time Systems Prasad,PRASAD,2017,WILEY
9.79E+12,Smart Grid: Technology Ekanayake,EKANAYAKE,2017,WILEY
9.79E+12,Smart Grid: Technology Ekanayake,EKANAYAKE,2017,WILEY
9.79E+12,Power Electronics and Variable Bose,BOSE,2017,WILEY
9.79E+12,Power Electronics and Variable Bose,BOSE,2017,WILEY
9.79E+12,Electrical Transients in Power Greenwood,GREENWOOD,2017,WILEY
9.79E+12,Electrical Transients in Power Greenwood,GREENWOOD,2017,WILEY
9.79E+12,Momentum Heat and Mass Transfer Welty,WELTY,2017,WILEY
9.79E+12,Momentum Heat and Mass Transfer Welty,WELTY,2017,WILEY
9.79E+12,Heat and Mass Transfer Incropera,INCROPERA,2017,WILEY
9.79E+12,Heat and Mass Transfer Incropera,INCROPERA,2017,WILEY
9.79E+12,Engineering Thermodynamics Moran,MORAN,2017,WILEY
9.79E+12,Engineering Thermodynamics Moran,MORAN,2017,WILEY
9.79E+12,Machining and Machine Tool Chattopadhyay,CHATTOPADHYAY,2017,WILEY
9.79E+12,Machining and Machine Tool Chattopadhyay,CHATTOPADHYAY,2017,WILEY
9.79E+12,Convection Heat Transfer Bejan,BEJAN,2017,WILEY
9.79E+12,Convection Heat Transfer Bejan,BEJAN,2017,WILEY
9.79E+12,Transport Phenomena Bird,BIRD,2017,WILEY
9.79E+12,Transport Phenomena Bird,BIRD,2017,WILEY
9.79E+12,Internal Combustion Engines Ferguson,FERGUSON,2017,WILEY
9.79E+12,Internal Combustion Engines Ferguson,FERGUSON,2017,WILEY
9.79E+12,RF and Microwave Wireless Systems Chang,CHANG,2017,WILEY
9.79E+12,RF and Microwave Wireless Systems Chang,CHANG,2017,WILEY
9.79E+12,Electromagnetic Compatibility Paul,PAUL,2017,WILEY
9.79E+12,Electromagnetic Compatibility Paul,PAUL,2017,WILEY
9.79E+12,Analog Integrated Circuit Design Caruson,CARUSONE,2017,WILEY
9.79E+12,Analog Integrated Circuit Design Caruson,CARUSONE,2017,WILEY
9.79E+12,VLSI Digital Signal Processing Parhi,PARHI,2017,WILEY
9.79E+12,VLSI Digital Signal Processing Parhi,PARHI,2017,WILEY
9.79E+12,Cloud Computing Black Book Jayaswal,JAYASWAL,2017,WILEY
9.79E+12,Cloud Computing Black Book Jayaswal,JAYASWAL,2017,WILEY
9.79E+12,Swift in the Cloud Williamson,WILLIAMSON,2017,WILEY
9.79E+12,Swift in the Cloud Williamson,WILLIAMSON,2017,WILEY
9.79E+12,Machine Component Design Juvinall,JUVINALL,2017,WILEY
9.79E+12,Machine Component Design Juvinall,JUVINALL,2017,WILEY
9.79E+12,Electronic Devices and Circuits Maini,MAINI,2017,WILEY
9.79E+12,Electronic Devices and Circuits Maini,MAINI,2017,WILEY
9.79E+12,Power System: Operation & Control Rao,RAO,2017,WILEY
9.79E+12,Power System: Operation & Control Rao,RAO,2017,WILEY
9.79E+12,Introduction to Electric Circuits Dorf,DORF,2017,WILEY
9.79E+12,Introduction to Electric Circuits Dorf,DORF,2017,WILEY
9.79E+12,Smart Grid Applications Berger,BERGER,2017,WILEY
9.79E+12,Smart Grid Applications Berger,BERGER,2017,WILEY
9.79E+12,Beginning R Gardener,GARDENER,2017,WILEY
9.79E+12,Beginning R Gardener,GARDENER,2017,WILEY
9.79E+12,Cloud Computing Sharma,SHARMA,2017,WILEY
9.79E+12,Cloud Computing Sharma,SHARMA,2017,WILEY
9.79E+12,Cloud Computing Bible Sosinsky,SOSINSKY,2017,WILEY
9.79E+12,Cloud Computing Bible Sosinsky,SOSINSKY,2017,WILEY
9.79E+12,Introduction to Robotics Niku,NIKU,2017,WILEY
9.79E+12,Introduction to Robotics Niku,NIKU,2017,WILEY
9.79E+12,Engineering Mechanics Chandra,CHANDRA,2017,WILEY
9.79E+12,Engineering Mechanics Chandra,CHANDRA,2017,WILEY
9.79E+12,Machine Learning Mueller,MUELLER,2017,WILEY
9.79E+12,Machine Learning Mueller,MUELLER,2017,WILEY
9.79E+12,Machine Learning in Python Bowles,BOWLES,2017,WILEY
9.79E+12,Machine Learning in Python Bowles,BOWLES,2017,WILEY
9.79E+12,Python for Data Science Mueller,MUELLER,2017,WILEY
9.79E+12,Python for Data Science Mueller,MUELLER,2017,WILEY
9.79E+12,Signals and Systems Krishnaveni,KRISHNAVENI,2017,WILEY
9.79E+12,Signals and Systems Krishnaveni,KRISHNAVENI,2017,WILEY
9.79E+12,Machine Learning for Big Data Bell,BELL,2017,WILEY
9.79E+12,Signals and Systems Krishnaveni,KRISHNAVENI,2017,WILEY
9.79E+12,Acing the GATE Electronics Maini,MAINI,2017,WILEY
9.79E+12,Acing the GATE Electronics Maini,MAINI,2017,WILEY
9.79E+12,Communication Systems Haykin,HAYKIN,2017,WILEY
9.79E+12,Communication Systems Haykin,HAYKIN,2017,WILEY
9.79E+12,Neoskilling for Digital transport Prasad,PRASAD,2017,WILEY
9.79E+12,Neoskilling for Digital transport Prasad,PRASAD,2017,WILEY
9.79E+12,Process Dynamics and Control Seborg,SEBORG,2017,WILEY
9.79E+12,Process Dynamics and Control Seborg,SEBORG,2017,WILEY
9.79E+12,Automation with Ansible Raheja,RAHEJA,2017,WILEY
9.79E+12,Automation with Ansible Raheja,RAHEJA,2017,WILEY
9.79E+12,Automated Data Collection with R Munzert,MUNZERT,2017,WILEY
9.79E+12,Automated Data Collection with R Munzert,MUNZERT,2017,WILEY
9.79E+12,Design Thinking Luchs,LUCHS,2017,WILEY
9.79E+12,Design Thinking Luchs,LUCHS,2017,WILEY
9.79E+12,Biomedical Signal Analysis Rangayyan,RANGAYYAN,2017,WILEY
9.79E+12,Biomedical Signal Analysis Rangayyan,RANGAYYAN,2017,WILEY
9.79E+12,Digital Communications Haykin,HAYKIN,2017,WILEY
9.79E+12,Digital Communications Haykin,HAYKIN,2017,WILEY
9.79E+12,Analog & Digital Communications Haykin,HAYKIN,2017,WILEY
9.79E+12,Analog & Digital Communications Haykin,HAYKIN,2017,WILEY
9.79E+12,Digital Communications Systems Haykin,HAYKIN,2017,WILEY
9.79E+12,Digital Communications Systems Haykin,HAYKIN,2017,WILEY
9.79E+12,Product and Process Design Seider,SEIDER,2017,WILEY
9.78E+12,Product and Process Design Seider,SEIDER,2017,WILEY
9.79E+12,Sensor & Acturators Brown,BROWN,2017,L & K
9.79E+12,Topology,MALIK,2017,IK
9.79E+12,Discrete Mathematics,ENSLEY,2017,WILEY
9.79E+12,Probablity Statistics & Practic Williams,WILLIAMS,2017,CENGAGE
9.79E+12,Mathematics Statistics Gupta,GUPTA/KAPUR,2017,S CHAND
9.79E+12,Mathematical Physics Gupta Bd,GUPTA BD,2017,S CHAND
9.79E+12,Python Programming Micheal,MICHEAL,2017,CENGAGE
9.78E+12,Data Science & Big Data Analytics Emc2,EMC2,2017,WILEY
9.79E+12,Machine Learning De Mello,DE MELLO,2017,SPRINGER
9.79E+12,Problem Solving & Python  Kulkarni,KULKARNI,2017,YES DEE
9.79E+12,Probablity & Statistics Mendenhall,MENDENHALL,2017,CENGAGE
9.79E+12,Linear Algebra Poole,POOLE,2017,CENGAGE
9.79E+12,Calculus Early Transcendentals Stewart,STEWART,2017,CENGAGE
9.78E+12,Defferential Equations With Model Zill,ZILL,2017,CENGAGE
9.79E+12,Engineering Mathematics Crawford,CRAWFORD,2017,LARSEN KELLER
9.78E+12,Calculus Early Transcendentals Stewart,STEWART,2017,CENGAGE
9.78E+12,Statistics In Engineering Metcalfe,METCALFE,2017,CRC
9.79E+12,Convex Optimization Boyd,BOYD,2017,CAMBRIDGE
9.79E+12,Probablity Statistics & Practic Williams,WILLIAMS,2017,CENGAGE
9.79E+12,Industrial Biotechnology Thakur,THAKUR,2017,IK
9.79E+12,Problem Solving & Python Progr Kulkarni,KULKARNI,2017,YESDEE
9.79E+12,Strategic Management Hitt,HITT,2017,CENGAGE
9.79E+12,Principles Of Macroeconomics Mankiw,MANKIW,2017,CENGAGE
9.79E+12,Principles Of Management Tripathy,TRIPATHY,2017,CENGAGE
9.79E+12,Retail Management Singh,SINGH,2017,S CHAND
9.79E+12,Essential Of Business Analysis Camm,CAMM,2017,CENGAGE
9.79E+12,Business Analytics Albright,ALBRIGHT,2017,CENGAGE
9.78E+12,Esd In Silicon Integrated  Amerasekera,AMERASEKERA,2017,WILEY
9.79E+12,Machine Learning With R Lantz,LANTZ,2017,PACKT
9.79E+12,Rfid Systems Bolic,BOLIC,2017,WILEY INDIA
